aluminium acetoacetate
aluminium acetotartrate
aluminium chloride
aluminium chlorohydrate
aluminium clofibrate
aluminium glycinate
aluminium hydroxide
aluminium nicotinate
aluminium oxide
aluminium phosphate
calcium carbimide
calcium carbonate
calcium chloride
calcium citrate
calcium citrate lysine complex
calcium compounds
calcium dobesilate
calcium folinate
calcium glubionate
calcium glucoheptonate
calcium gluconate
calcium glycerylphosphate
calcium hexamine thiocyanate
calcium iopodate
calcium lactate
calcium lactate gluconate
calcium laevulate
calcium levofolinate
calcium pangamate
calcium pantothenate
calcium phosphate
calcium silicate
copper sulfate
ferrous ascorbate
ferrous aspartate
ferrous carbonate
ferrous chloride
ferrous fumarate
ferrous gluconate
ferrous glycine sulfate
ferrous iodine
ferrous succinate
ferrous sulfate
ferrous tartrate
magnesium aspartate
magnesium carbonate
magnesium chloride
magnesium citrate
magnesium gluconate
magnesium hydroxide
magnesium lactate
magnesium levulinate
magnesium orotate
magnesium oxide
magnesium peroxide
magnesium phosphate
magnesium pidolate
magnesium pyridoxal 5-phosphate glutamate
magnesium silicate
magnesium sulfate
potassium chloride
potassium iodide
potassium permanganate
povidone-iodine
sodium acetate
sodium aminosalicylate
sodium apolate
sodium aurothiomalate
sodium aurotiosulfate
sodium benzoate
sodium bicarbonate
sodium borate
sodium cellulose phosphate
sodium chloride
sodium chlorite
sodium citrate
sodium edetate
sodium feredetate
sodium fluoride
sodium fluoride (18F)
sodium folinate
sodium glycerophosphate
sodium hypochlorite
sodium iodide (123I)
sodium iodide (124I)
sodium iodide (131I)
sodium iodohippurate (123I)
sodium iodohippurate (131I)
sodium iopodate
sodium iothalamate (125I)
sodium levofolinate
sodium monofluorophosphate
sodium nitrite
sodium oxybate
sodium perborate
sodium phenylbutyrate
sodium phosphate
sodium phosphate (32P)
sodium picosulfate
sodium propionate
sodium salicylate
sodium selenate
sodium selenite
sodium stibogluconate
sodium sulfate
sodium tartrate
sodium tetradecyl sulfate
sodium zirconium cyclosilicate
